YGL154C,186921,LYS5_YEAST
iYOR032C,~,~
YBR129C,165997,OPY1_YEAST
ybl054w,200545,TOD6_YEAST
YDL215C,202694,DHE2_YEAST
YKL099C,176405,UTP11_YEAST
YDR315C,177747,IPK1_YEAST
YLR394W,138777,CST9_YEAST
YNL104C,203270,LEU1_YEAST
YNL151C,216888,RPC7_YEAST
YNR066C,172838,YN95_YEAST
YLR220W,105317,CCC1_YEAST
YHR006W,209961,STP2_YEAST
YMR232W,201200,FUS2_YEAST
YNL083W,182474,CMC1_YEAST
YOR313C,171633,SPS4_YEAST
YGR038C-A,166309,YG12A_YEAST
YGR038C-B,138795,YG12B_YEAST
iYCR004C,~,~
YER168C,193445,CCA1_YEAST
YPL265W,173404,DIP5_YEAST
YOR227W,199294,HER1_YEAST
YOR081C,139749,TGL5_YEAST
YEL026W,194039,SNU13_YEAST
YDR021W,128690,FAL1_YEAST
YGL063W,188407,PUS2_YEAST
YPL212C,199729,PUS1_YEAST
YOL157C,113827,IMA2_YEAST
YOR345C,212030,YO345_YEAST
YPR095C,154519,SYT1_YEAST
YOR310C,188193,NOP58_YEAST
YDR188W,209736,TCPZ_YEAST
YAL027W,180375,SAW1_YEAST
YGL236C,107466,MTO1_YEAST
YHR133C,183781,NSG1_YEAST
YDR017C,122267,KCS1_YEAST
YIL090W,163268,ICE2_YEAST
iYGR121C,~,~
YBR183W,162271,YPC1_YEAST
YOL048C,~,~
YML039W,180685,YM12B_YEAST
YCR007C,214301,YCP7_YEAST
YDR016C,152106,DAD1_YEAST
YEL004W,178515,YEA4_YEAST
YPR057W,124212,BRR1_YEAST
YLL032C,164922,YL032_YEAST
YDR116C,166799,RM01_YEAST
iYIL073C,~,~
Q0325,~,~
yjl056c,205860,ZAP1_YEAST
YLR030W,201227,YL030_YEAST
YDR122W,127739,KIN1_YEAST
YOL062C,180595,AP2M_YEAST
YNL234W,203759,YNX4_YEAST
YLR467W,116829,YRF15_YEAST
YJL194W,131989,CDC6_YEAST
YOL015W,175655,IRC10_YEAST
YDL070W,214947,BDF2_YEAST
YOR241W,203902,FOLE_YEAST
YLR056W,168562,ERG3_YEAST
YKL110C,138123,KTI12_YEAST
ybr245c,208222,ISW1_YEAST
iYLR205C,~,~
YNL255C,132089,GIS2_YEAST
YLR204W,107057,COX24_YEAST
YML097C,204961,VPS9_YEAST
YKR007W,139064,MEH1_YEAST
YDL096C,164549,OPI6_YEAST
YHR193C,146963,NACA_YEAST
YBL099W,181656,ATPA_YEAST
YOR126C,~,~
YGL027C,145267,CWH41_YEAST
YOR119C,177484,RIO1_YEAST
YNL187W,156873,SWT21_YEAST
YMR101C,~,~
YCL045C,159464,EMC1_YEAST
YCR061W,183094,YCV1_YEAST
YPR115W,177448,RGC1_YEAST
YHR088W,143065,RPF1_YEAST
iYGL196W,~,~
YBR017C,~,~
YPR162C,125682,ORC4_YEAST
YGR166W,105159,TRS65_YEAST
ynl167c,195855,SKO1_YEAST
YKL050C,185695,YKF0_YEAST
YJR055W,152904,HIT1_YEAST
ydr259c,136002,YAP6_YEAST
YGL099W,103220,LSG1_YEAST
YFL030W,144621,AGX1_YEAST
YIL119C,154532,RPI1_YEAST
YPL193W,113683,RSA1_YEAST
YNL005C,133821,RM02_YEAST
ygl073w,191048,HSF_YEAST
YJL144W,186715,YJO4_YEAST
YBR012W-B,199000,YB12B_YEAST
YBR012W-A,172130,YB12A_YEAST
YJR139C,185978,DHOM_YEAST
YBR133C,~,~
YBR162C,125935,TOS1_YEAST
YFL002W-B,150213,YF21A_YEAST
YJL079C,210715,PRY1_YEAST
YGL019W,183795,CSK2B_YEAST
YGR201C,178640,YG4D_YEAST
YNL172W,214549,APC1_YEAST
YNL058C,128887,YNF8_YEAST
YPL160W,219684,SYLC_YEAST
YNL023C,205182,FAP1_YEAST
YDR214W,178935,AHA1_YEAST
YLR222C,182812,UTP13_YEAST
YLR295C,187147,ATP14_YEAST
YHR168W,197189,MTG2_YEAST
YOR064C,151231,YNG1_YEAST
YOR159C,213568,RUXE_YEAST
YOL081W,115642,IRA2_YEAST
YOL036W,193061,YO036_YEAST
YGL148W,103892,AROC_YEAST
YOR031W,113960,CRS5_YEAST
YBR282W,119312,RM27_YEAST
YDR194C,134557,MS116_YEAST
YOL114C,137694,YO114_YEAST
YGR084C,172704,RT13_YEAST
yjr140c,117626,HIR3_YEAST
YKL076C,162447,PSY1_YEAST
YDR466W,113791,PKH3_YEAST
YFR045W,129105,YFL5_YEAST
YIL002C,193430,INP51_YEAST
YGR159C,184061,NSR1_YEAST
ydr448w,121131,ADA2_YEAST
YFR032C,169100,RRT5_YEAST
YNL118C,~,~
YPR031W,154202,NTO1_YEAST
YGL228W,~,~
YJR117W,176225,STE24_YEAST
YLR357W,187330,RSC2_YEAST
YER127W,121697,LCP5_YEAST
YJR093C,159292,FIP1_YEAST
YLR017W,205593,MTAP_YEAST
YHR110W,136023,ERP5_YEAST
YBR041W,129461,FAT1_YEAST
YOR394W,104098,PAU21_YEAST
YCR044C,125826,PER1_YEAST
YDL039C,152689,PRM7_YEAST
YKL202W,208184,YKU2_YEAST
YOR264W,150067,DSE3_YEAST
YOR188W,125436,MSB1_YEAST
yor038c,117816,HIR2_YEAST
YGL173C,146909,XRN1_YEAST
YOR366W,149810,YO366_YEAST
YNL275W,153908,BOR1_YEAST
YAR015W,173569,PUR7_YEAST
YOR384W,150456,FRE5_YEAST
YLL051C,177733,FRE6_YEAST
YDR427W,156599,RPN9_YEAST
YLR079W,167632,SIC1_YEAST
YLR408C,203771,BL1S1_YEAST
YMR093W,114781,UTP15_YEAST
YMR042W,105374,ARGR1_YEAST
YDR079W,130574,PT100_YEAST
YMR268C,162187,PRP24_YEAST
YOR169C,110600,YO169_YEAST
YML070W,160676,DAK1_YEAST
YPR072W,202972,NOT5_YEAST
YMR108W,217743,ILVB_YEAST
YCR091W,169661,KIN82_YEAST
YER062C,118523,GPP2_YEAST
YDR244W,141943,PEX5_YEAST
YER189W,156701,YE19_YEAST
YJL009W,217003,YJA9_YEAST
YDL137W,180971,ARF2_YEAST
YGR271W,156575,SLH1_YEAST
YDR233C,135057,RTN1_YEAST
YGL046W,155695,PALF_YEAST
YGR071C,174623,ENV11_YEAST
YCR106W,109079,RDS1_YEAST
YBL100C,128516,YBK0_YEAST
YER109C,187662,FLO8_YEAST
YDR489W,126995,SLD5_YEAST
YPL282C,109230,PAU22_YEAST
YPR049C,215938,ATG11_YEAST
YDL057W,197867,YD057_YEAST
YGR257C,163921,MTM1_YEAST
YPL235W,177194,RUVB2_YEAST
YLR155C,112250,ASP21_YEAST
YBL087C,162080,RL23A_YEAST
YJL132W,203846,YJN2_YEAST
YGL190C,184915,2ABA_YEAST
YBR110W,219220,ALG1_YEAST
YDR144C,126954,MKC7_YEAST
YOR180C,170712,DCI1_YEAST
YFL046W,213245,FMP32_YEAST
yer109c,187662,FLO8_YEAST
YOR103C,117226,OST2_YEAST
YKL137W,110891,COXM1_YEAST
YDR447C,139595,RS17B_YEAST
YAL061W,216357,BDH2_YEAST
YNL324W,133209,YN64_YEAST
YPR145W,188874,ASNS1_YEAST
YJL063C,165132,RM08_YEAST
YPL021W,170190,ECM23_YEAST
YIR010W,192854,DSN1_YEAST
YDR331W,119471,GPI8_YEAST
YJL114W,130593,YJ41A_YEAST
YKR044W,133775,UIP5_YEAST
YLR433C,122758,PP2B1_YEAST
YMR068W,220106,AVO2_YEAST
YLR157C-A,169791,YL12A_YEAST
YLR157C-B,144856,YL12B_YEAST
YFL068W,114110,YFG8_YEAST
YER032W,158353,FIR1_YEAST
YJR070C,125006,DOHH_YEAST
YGL005C,122387,COG7_YEAST
YHR043C,186301,DOG2_YEAST
YDL111C,141454,RRP42_YEAST
YMR133W,169626,RE114_YEAST
ypl139c,121893,UME1_YEAST
YPL007C,109279,TFC8_YEAST
YKL159C,130705,RCN1_YEAST
YDR507C,175515,GIN4_YEAST
YBR101C,151714,FES1_YEAST
YLR396C,181986,VPS33_YEAST
YBR245C,208222,ISW1_YEAST
YMR299C,106106,DYN3_YEAST
YJL216C,154259,IMA5_YEAST
YBR210W,127412,ERV15_YEAST
YPL103C,173592,FMP30_YEAST
YIL103W,107239,DPH1_YEAST
YIL152W,121358,YIP2_YEAST
YDR341C,163906,SYRC_YEAST
YJR096W,106978,YJ66_YEAST
YGR143W,192101,SKN1_YEAST
YGR112W,195948,SHY1_YEAST
YLR256W,175041,HAP1_YEAST
iYJL031C,~,~
YHR174W,199207,ENO2_YEAST
YOR012W,141916,YO012_YEAST
yfl031w,150420,HAC1_YEAST
YDL213C,146675,NOP6_YEAST
YDR317W,110496,HIM1_YEAST
YDR478W,147785,RMRP_YEAST
iYER074W,~,~
iYDR246W,~,~
YNL106C,141888,INP52_YEAST
YOR378W,125378,YO378_YEAST
YFR015C,132917,GYS1_YEAST
YMR230W,137995,RS10B_YEAST
YIL092W,176727,YIJ2_YEAST
YAR009C,172373,YA11B_YEAST
YLR321C,217224,SFH1_YEAST
YBR004C,126545,GPI18_YEAST
iYCR002C,~,~
YGR052W,187233,FMP48_YEAST
YJR161C,111037,COS5_YEAST
YOR278W,196255,HEM4_YEAST
ypr018w,183226,RLF2_YEAST
YNL085W,138455,MKT1_YEAST
YGL061C,209427,DUO1_YEAST
YPL210C,211267,SRP72_YEAST
YOR087W,174145,YVC1_YEAST
YGL234W,155089,PUR2_YEAST
YOR347C,191609,KPYK2_YEAST
YPR093C,165795,ASR1_YEAST
YAL029C,107005,MYO4_YEAST
YOL155C,163857,HPF1_YEAST
YDR421W,157653,ARO80_YEAST
YGL171W,154285,ROK1_YEAST
YDR294C,177823,SGPL_YEAST
YHR135C,168059,KC11_YEAST
ykl222c,210860,YKW2_YEAST
yjr094c,154118,IME1_YEAST
YBR181C,113380,RS6B_YEAST
YOR078W,219784,BUD21_YEAST
YOR243C,138364,PUS7_YEAST
YMR165C,212254,PAH1_YEAST
YCR005C,207635,CISY2_YEAST
YGR296W,123391,YRF13_YEAST
YPR055W,159516,SEC8_YEAST
YHR037W,135461,PUT2_YEAST
YLR032W,193706,RAD5_YEAST
YLR089C,114694,ALAM_YEAST
YBR099C,215172,YBU9_YEAST
ybr289w,197953,SNF5_YEAST
YOL060C,184032,MAM3_YEAST
YNL208W,103140,YNU8_YEAST
YNL232W,160769,CSL4_YEAST
YDL076C,209046,RXT3_YEAST
YOR225W,110183,YO225_YEAST
YDR120C,161254,TRM1_YEAST
yjl176c,161276,SWI3_YEAST
YLR465C,195667,BSC3_YEAST
YJL192C,168960,SOP4_YEAST
YLR054C,210355,OSW2_YEAST
YLR009W,178379,RLP24_YEAST
YDR063W,192204,AIM7_YEAST
YGR238C,217209,KEL2_YEAST
YLR423C,219876,ATG17_YEAST
YLR105C,205822,SEN2_YEAST
YML091C,176971,RPM2_YEAST
ylr098c,207908,CHA4_YEAST
YDL098C,125363,SNU23_YEAST
YKR005C,112843,YKY5_YEAST
YMR143W,158060,RS16A_YEAST
YCR063W,109394,BUD31_YEAST
YNL189W,218262,IMA1_YEAST
YCL047C,~,~
iYFR032C-A,~,~
YGL122C,215104,NAB2_YEAST
YDL018C,122820,ERP3_YEAST
YOR120W,196193,GCY1_YEAST
YPR160W,170506,PHSG_YEAST
YBL060W,163665,YEL1_YEAST
IntYHR021C,~,~
YBR019C,189619,GAL10_YEAST
YKL056C,147507,TCTP_YEAST
YGR160W,200020,YG3R_YEAST
YDL163W,186861,YD163_YEAST
YPL068C,132733,YP068_YEAST
YJR057W,150628,KTHY_YEAST
YKL178C,195837,STE3_YEAST
YBLWdelta10,~,~
YLR377C,145565,F16P_YEAST
YBL063W,143556,KIP1_YEAST
YAL059W,193958,ECM1_YEAST
YNL007C,176935,SIS1_YEAST
YPL148C,220492,PPT2_YEAST
YJR137C,199379,MET5_YEAST
YMR021C,115551,MAC1_YEAST
YMR074C,104086,YMW4_YEAST
YIL015C-A,~,~
YDR378C,103658,LSM6_YEAST
YJR039W,154899,YJ09_YEAST
YDL158C,126249,YD158_YEAST
iYPL110C,~,~
YOR104W,164255,PIN2_YEAST
YFL009W,211187,CDC4_YEAST
YLR297W,188533,YL297_YEAST
YLR279W,105818,YL279_YEAST
ynl330c,208127,RPD3_YEAST
YDR216W,114028,ADR1_YEAST
YIL120W,215021,QDR1_YEAST
YNL021W,110637,HDA1_YEAST
iYER180C,~,~
YGR095C,135389,RRP46_YEAST
YCL027W,202858,FUS1_YEAST
YHR029C,174012,YHI9_YEAST
yor140w,179967,SFL1_YEAST
YAL033W,160318,POP5_YEAST
YBR284W,149023,YB9Z_YEAST
YNR036C,219844,RT12_YEAST
YNR049C,207005,MSO1_YEAST
YDR192C,191403,NUP42_YEAST
YOL112W,210111,MSB4_YEAST
YML109W,201830,ZDS2_YEAST
YOL083W,116383,ATG34_YEAST
ygr040w,219550,KSS1_YEAST
YNL251C,115356,NRD1_YEAST
YBR266C,135927,SLM6_YEAST
YBL004W,193588,UTP20_YEAST
YBR164C,168859,ARL1_YEAST
YHR074W,108914,NADE_YEAST
YDR464W,104014,SPP41_YEAST
YFR030W,200753,MET10_YEAST
YBR131W,185765,CCZ1_YEAST
YKL078W,163150,DHR2_YEAST
YIL055C,119683,YIF5_YEAST
YPL053C,198615,KTR6_YEAST
yor229w,116045,WTM2_YEAST
YLR351C,177574,NIT3_YEAST
YJR111C,154349,YJ81_YEAST
YGR027W-A,118389,YG11A_YEAST
YER125W,187266,RSP5_YEAST
YER152C,173737,YEY2_YEAST
IntYNR053C,~,~
YHR116W,191775,COX23_YEAST
YPL259C,146259,AP1M1_YEAST
iYHR219W,~,~
YOR198C,180570,BFR1_YEAST
YOR039W,130931,CSK2C_YEAST
YDL037C,152619,BSC1_YEAST
YHL043W,154909,ECM34_YEAST
YOR364W,132975,YO364_YEAST
YOR386W,207715,PHR_YEAST
YDR397C,165893,NCB2_YEAST
YPR198W,169727,SGE1_YEAST
YHL038C,203523,CBP2_YEAST
YLL053C,216589,YLL53_YEAST
YDR425W,123688,SNX41_YEAST
iYLR317W,~,~
YOR331C,109838,YO331_YEAST
YML076C,210368,WAR1_YEAST
YKR060W,133461,RL1D1_YEAST
YER069W,134581,ARG56_YEAST
YMR091C,113018,RSC7_YEAST
YER012W,131133,PSB4_YEAST
YHR098C,180345,SFB3_YEAST
YDL135C,189735,GDIR_YEAST
YCR093W,161124,NOT1_YEAST
YGR273C,170205,YG5Q_YEAST
YLL035W,200934,GRC3_YEAST
YBR069C,202169,TAT1_YEAST
YGR077C,118185,PEX8_YEAST
YCR104W,170131,PAU3_YEAST
YDR512C,105391,EMI1_YEAST
YGR255C,26571,Protein4885
YDL051W,121987,LHP1_YEAST
YBL102W,177789,SFT2_YEAST
YGR073C,145660,YG2E_YEAST
YLR120C,177056,YPS1_YEAST
YCL001W-A,132795,YC01A_YEAST
YNL068C,214760,FKH2_YEAST
YJL169W,216736,YJQ9_YEAST
YAL043C-A,157754,YA042_YEAST
YDR146C,159250,SWI5_YEAST
YBR112C,215775,CYC8_YEAST
YBL081W,163134,YBI1_YEAST
YBR038W,209186,CHS2_YEAST
YFL040W,152620,YFE0_YEAST
YNL326C,151669,PFA3_YEAST
YDR337W,108067,RT28_YEAST
YJL061W,196480,NUP82_YEAST
YPR147C,136114,YP147_YEAST
YKL131W,118538,YKN1_YEAST
YDR441C,210562,APT2_YEAST
YPL094C,178652,SEC62_YEAST
YOR101W,111212,RAS1_YEAST
YDR231C,146083,COX20_YEAST
YJL112W,141292,MDV1_YEAST
YFL066C,137204,YFG6_YEAST
YNL193W,178557,YNT3_YEAST
YML058W,185665,SML1_YEAST
YOR071C,165981,NRT1_YEAST
YER034W,106328,YEM4_YEAST
YJR076C,106017,CDC11_YEAST
YKL157W,176907,APE2_YEAST
YBR003W,116751,COQ1_YEAST
YOL140W,156183,ARGD_YEAST
YPR129W,148464,SCD6_YEAST
YDL113C,117727,ATG20_YEAST
YMR135C,164795,GID8_YEAST
iYHR175W,~,~
YPL005W,144960,AEP3_YEAST
YBR247C,130792,ENP1_YEAST
YLR185W,136586,RL37A_YEAST
YJL210W,148313,PEX2_YEAST
YAL010C,180667,MDM10_YEAST
YIL154C,172767,IMPX_YEAST
iYBR062C,~,~
YIL101C,209217,XBP1_YEAST
YKL004W,116398,AUR1_YEAST
YOR208W,102513,PTP2_YEAST
YPL154C,184549,CARP_YEAST
YPL101W,180889,ELP4_YEAST
YLR258W,188423,GYS2_YEAST
ykr036c,185499,CAF4_YEAST
YJR098C,123920,YJ68_YEAST
YHR176W,119094,FMO1_YEAST
YDL055C,146216,MPG1_YEAST
ykl032c,112547,IXR1_YEAST
YJR018W,188735,YJY8_YEAST
YDL211C,150996,YD211_YEAST
YDL244W,~,~
YDR319C,171518,YFT2_YEAST
YKL095W,159662,YJU2_YEAST
YOL099C,140014,YO099_YEAST
YIL094C,124611,LYS12_YEAST
YLR451W,150304,LEUR_YEAST
YFR017C,214879,IGD1_YEAST
ygr249w,151205,MGA1_YEAST
YHR017W,209818,YHH7_YEAST
YOL044W,176623,PEX15_YEAST
YLR323C,121957,CWC24_YEAST
YOR085W,149817,OST3_YEAST
YGR054W,186224,EIF2A_YEAST
YNL087W,127326,TCB2_YEAST
YGR114C,113486,YG2Z_YEAST
YLR318W,107892,TERT_YEAST
YBR278W,169175,DPB3_YEAST
YDR296W,173770,MHR1_YEAST
YGL232W,210022,TAN1_YEAST
YPR091C,208812,YP091_YEAST
YGR141W,177184,VPS62_YEAST
YJR158W,183159,HXT16_YEAST
YHR137W,154359,ARO9_YEAST
YBR187W,133802,GDT1_YEAST
YMR198W,162756,CIK1_YEAST
YCR003W,111978,RM32_YEAST
YMR316C-B,~,~
YMR316C-A,169422,YM16A_YEAST
YMR163C,143308,INP2_YEAST
YGR294W,145935,PAU12_YEAST
YLL067C,106828,YL067_YEAST
YPL029W,104072,SUV3_YEAST
YBR020W,139995,GAL1_YEAST
YLR418C,193462,CDC73_YEAST
YDR112W,~,~
YER059W,215746,PCL6_YEAST
YPL153C,195971,RAD53_YEAST
YBL025W,194827,RRN10_YEAST
YOL066C,129570,RIB2_YEAST
YDR126W,185414,SWF1_YEAST
YGL167C,192899,ATC1_YEAST
YOR223W,193383,YO223_YEAST
YEL022W,195600,GEA2_YEAST
YIL053W,~,~
YDL074C,207829,BRE1_YEAST
YLR463C,133255,YL463_YEAST
YJL190C,127485,RS22A_YEAST
YMR218C,200921,TR130_YEAST
YLR052W,218890,IES3_YEAST
YNL230C,205764,ELOA1_YEAST
YLL049W,134478,LDB18_YEAST
YHR211W,134405,FLO5_YEAST
YPR166C,215727,RT02_YEAST
YJL042W,144843,MHP1_YEAST
YNL301C,199548,RL18B_YEAST
YDR445C,203249,YD445_YEAST
YMR058W,140965,FET3_YEAST
YDR061W,129359,YD061_YEAST
YOR290C,202204,SNF2_YEAST
YKL114C,144269,APN1_YEAST
YML024W,128758,RS17A_YEAST
YML093W,150519,UTP14_YEAST
YHR197W,130731,RIX1_YEAST
YDR276C,159706,PMP3_YEAST
YLR200W,179539,PFD6_YEAST
YKR003W,204665,OSH6_YEAST
YLR107W,177164,REXO3_YEAST
YMR321C,121505,YM99_YEAST
YER175C,107743,TMT1_YEAST
YKL135C,120239,AP1B1_YEAST
YDL183C,215336,YD183_YEAST
YPL278C,184477,YP278_YEAST
YMR118C,~,~
YCL049C,149776,YCE9_YEAST
YBL066C,196288,SEF1_YEAST
YGL107C,152870,RMD9_YEAST
YDR169C,130106,STB3_YEAST
YLR410W-B,130129,YL21B_YEAST
YLR410W-A,131627,YL21A_YEAST
YLR169W,194276,YL169_YEAST
YMR272C,185573,SCS7_YEAST
YPR108W,143760,RPN7_YEAST
YKL054C,169002,DEF1_YEAST
YGR162W,156270,IF4F1_YEAST
YDL165W,137765,NOT2_YEAST
YDR032C,198341,PST2_YEAST
YKL023W,210393,YKC3_YEAST
YJR051W,148560,OSM1_YEAST
YNL009W,206860,IDHH_YEAST
YFL034W,198793,YFD4_YEAST
YOR337W,194178,TEA1_YEAST
ybr150c,141169,TBS1_YEAST
YJR135C,115199,CENPK_YEAST
YGL213C,183048,SKI8_YEAST
YMR076C,202659,PDS5_YEAST
YGR205W,166461,TDA10_YEAST
YJR037W,195729,YJ07_YEAST
YNL027W,190500,CRZ1_YEAST
YLR291C,121515,EI2BB_YEAST
YDR210W,121819,YD210_YEAST
YIL122W,186261,POG1_YEAST
YDL230W,193655,PTP1_YEAST
yir018w,143385,YAP5_YEAST
YJR113C,188971,RT07_YEAST
YGL075C,175963,MPS2_YEAST
YIR026C,115053,PVH1_YEAST
YER057C,220314,HMF1_YEAST
iYKL184W,~,~
YGR097W,212131,ASK10_YEAST
YIL068C,211989,SEC6_YEAST
YCL025C,210328,AGP1_YEAST
YNR034W,179814,SOL1_YEAST
YNL282W,202396,POP3_YEAST
YBR286W,210054,APE3_YEAST
YGL144C,179204,ROG1_YEAST
YDR190C,107801,RUVB1_YEAST
YAL031C,113533,GIP4_YEAST
YBL006C,105477,LDB7_YEAST
YGR108W,102531,CG21_YEAST
YBR264C,179315,YPT10_YEAST
YBR231C,150663,SWC5_YEAST
iYGL007W-1,~,~
YPL197C,144785,YP197_YEAST
YBR166C,178128,TYR1_YEAST
YDR462W,149173,RM28_YEAST
YJL148W,118750,RPA34_YEAST
YIL057C,216555,RGI2_YEAST
YPL055C,196179,LGE1_YEAST
YLR353W,216131,BUD8_YEAST
YIL148W,210413,RL40A_YEAST
YNR016C,192985,ACAC_YEAST
YFR036W,134610,CDC26_YEAST
YHR114W,167534,BZZ1_YEAST
YGR028W,181723,MSP1_YEAST
YER150W,114666,SPI1_YEAST
YNL279W,152822,PRM1_YEAST
YDR400W,131858,URH1_YEAST
YAR044W,159268,OSH1_YEAST
YDL068W,185930,YD068_YEAST
YOL027C,149937,MDM38_YEAST
YPL257W,172934,YP257_YEAST
iYMR268C,~,~
YPL120W,120599,BECN1_YEAST
YOL145C,136943,CTR9_YEAST
YJL099W,184449,CHS6_YEAST
YDR034W-B,168491,YD34B_YEAST
YOL110W,105767,ERFD_YEAST
YDR005C,158263,MAF1_YEAST
